semEpi;estadoIBGE;municipio;faixa_etaria;casos
1;AM;PAUINI;70 anos e mais;1
1;AM;PRESIDENTE FIGUEIREDO;16 a 19 anos;1
1;AM;PRESIDENTE FIGUEIREDO;20 a 39 anos;1
1;AM;PRESIDENTE FIGUEIREDO;40 a 59 anos;2
1;AM;PRESIDENTE FIGUEIREDO;60 a 69 anos;1
1;AM;RIO PRETO DA EVA;05 a 10 anos;1
1;AM;RIO PRETO DA EVA;16 a 19 anos;1
1;AM;RIO PRETO DA EVA;20 a 39 anos;1
1;AM;RIO PRETO DA EVA;40 a 59 anos;4
1;AM;SANTO ANTONIO DO ICA;20 a 39 anos;2
1;AM;SANTO ANTONIO DO ICA;70 anos e mais;1
1;AM;SAO GABRIEL DA CACHOEIRA;05 a 10 anos;1
1;AM;SAO GABRIEL DA CACHOEIRA;20 a 39 anos;1
1;AM;SAO PAULO DE OLIVENCA;20 a 39 anos;2
1;AM;SAO PAULO DE OLIVENCA;40 a 59 anos;1
1;AM;TABATINGA;11 a 15 anos;1
1;AM;TABATINGA;16 a 19 anos;1
1;AM;TABATINGA;20 a 39 anos;18
1;AM;TABATINGA;40 a 59 anos;13
1;AM;TABATINGA;60 a 69 anos;2
1;AM;TEFE;05 a 10 anos;1
1;AM;TEFE;16 a 19 anos;2
1;AM;TEFE;sem informaç ;1
1;AM;TONANTINS;20 a 39 anos;1
1;AP;CALCOENE;0 a 06 meses;1
1;AP;CALCOENE;05 a 10 anos;1
1;AP;CALCOENE;20 a 39 anos;5
1;AP;CALCOENE;40 a 59 anos;10
1;AP;CALCOENE;60 a 69 anos;1
1;AP;CALCOENE;70 anos e mais;1
1;AP;LARANJAL DO JARI;40 a 59 anos;1
1;AP;MACAPA;02 a 04 anos;2
1;AP;MACAPA;05 a 10 anos;8
1;AP;MACAPA;07 meses a 01 ano;7
1;AP;MACAPA;11 a 15 anos;2
1;AP;MACAPA;16 a 19 anos;10
1;AP;MACAPA;20 a 39 anos;63
1;AP;MACAPA;40 a 59 anos;39
1;AP;MACAPA;60 a 69 anos;18
1;AP;MACAPA;70 anos e mais;14
1;AP;OIAPOQUE;20 a 39 anos;1
1;AP;OIAPOQUE;40 a 59 anos;1
1;AP;SANTANA;02 a 04 anos;1
1;AP;SANTANA;11 a 15 anos;1
1;AP;SANTANA;16 a 19 anos;1
1;AP;SANTANA;20 a 39 anos;10
1;AP;SANTANA;40 a 59 anos;8
1;AP;SANTANA;60 a 69 anos;1
1;AP;SANTANA;70 anos e mais;1
1;AP;TARTARUGALZINHO;20 a 39 anos;2
1;AP;TARTARUGALZINHO;40 a 59 anos;3
1;BA;ACAJUTIBA;07 meses a 01 ano;1
1;BA;AGUA FRIA;20 a 39 anos;2
1;BA;ALAGOINHAS;20 a 39 anos;2
1;BA;BARRA;0 a 06 meses;1
1;BA;BARRA DO CHOCA;20 a 39 anos;4
1;BA;BARRA DO CHOCA;40 a 59 anos;2
1;BA;BARRA DO CHOCA;60 a 69 anos;1
1;BA;BUERAREMA;40 a 59 anos;1
1;BA;CAMAMU;40 a 59 anos;1
1;BA;CAMPO FORMOSO;02 a 04 anos;1
1;BA;CANDEIAS;20 a 39 anos;1
1;BA;CAPIM GROSSO;20 a 39 anos;1
1;BA;CARAVELAS;60 a 69 anos;1
1;BA;CASTRO ALVES;sem informaç ;1
1;BA;CURACA;40 a 59 anos;1
1;BA;DIAS D AVILA;20 a 39 anos;1
1;BA;ENCRUZILHADA;40 a 59 anos;1
1;BA;ENTRE RIOS;20 a 39 anos;1
1;BA;ESPLANADA;40 a 59 anos;1
1;BA;EUNAPOLIS;40 a 59 anos;1
1;BA;FATIMA;20 a 39 anos;1
1;BA;FEIRA DE SANTANA;0 a 06 meses;1
1;BA;FEIRA DE SANTANA;11 a 15 anos;1
1;BA;FEIRA DE SANTANA;20 a 39 anos;4
1;BA;FEIRA DE SANTANA;60 a 69 anos;1
1;BA;FEIRA DE SANTANA;70 anos e mais;1
1;BA;GUANAMBI;20 a 39 anos;1
1;BA;GUANAMBI;40 a 59 anos;1
1;BA;GUANAMBI;60 a 69 anos;1
1;BA;GUANAMBI;70 anos e mais;1
1;BA;IPIAU;60 a 69 anos;1
1;BA;IRAQUARA;20 a 39 anos;1
1;BA;IRARA;20 a 39 anos;1
1;BA;IRARA;60 a 69 anos;1
1;BA;IRECE;20 a 39 anos;2
1;BA;ITABELA;20 a 39 anos;1
1;BA;ITABUNA;70 anos e mais;1
1;BA;ITAGUACU DA BAHIA;20 a 39 anos;1
1;BA;ITAMARAJU;60 a 69 anos;1
1;BA;ITORORO;70 anos e mais;1
1;BA;JACOBINA;20 a 39 anos;1
1;BA;JACOBINA;40 a 59 anos;1
1;BA;JAGUAQUARA;70 anos e mais;1
1;BA;JAGUARARI;16 a 19 anos;1
1;BA;JAGUARARI;40 a 59 anos;1
1;BA;JAGUARARI;60 a 69 anos;1
1;BA;JUAZEIRO;20 a 39 anos;6
1;BA;JUAZEIRO;40 a 59 anos;1
1;BA;LAJE;20 a 39 anos;1
1;BA;LAURO DE FREITAS;05 a 10 anos;1
1;BA;LAURO DE FREITAS;20 a 39 anos;1
1;BA;LAURO DE FREITAS;40 a 59 anos;1
1;BA;LAURO DE FREITAS;60 a 69 anos;2
1;BA;LAURO DE FREITAS;70 anos e mais;2
1;BA;LUIS EDUARDO MAGALHAES;0 a 06 meses;1
1;BA;MAIRI;60 a 69 anos;1
1;BA;MAIRI;70 anos e mais;1
1;BA;MARACAS;20 a 39 anos;1
1;BA;MASCOTE;11 a 15 anos;1
1;BA;MASCOTE;20 a 39 anos;1
1;BA;MASCOTE;sem informaç ;1
1;BA;MATINA;60 a 69 anos;1
1;BA;MEDEIROS NETO;20 a 39 anos;1
1;BA;MILAGRES;40 a 59 anos;1
1;BA;MORTUGABA;40 a 59 anos;1
1;BA;MORTUGABA;60 a 69 anos;1
1;BA;MORTUGABA;70 anos e mais;3
1;BA;MUCURI;11 a 15 anos;1
1;BA;MUCURI;40 a 59 anos;2
1;BA;NORDESTINA;20 a 39 anos;1
1;BA;NOVA ITARANA;40 a 59 anos;1
1;BA;NOVO TRIUNFO;02 a 04 anos;1
1;BA;PARATINGA;20 a 39 anos;1
1;BA;PLANALTINO;40 a 59 anos;1
1;BA;PORTO SEGURO;40 a 59 anos;1
1;BA;PORTO SEGURO;70 anos e mais;1
1;BA;PRADO;40 a 59 anos;1
1;BA;RIACHO DE SANTANA;60 a 69 anos;1
1;BA;RIO REAL;20 a 39 anos;1
1;BA;RIO REAL;40 a 59 anos;2
1;BA;SALINAS DA MARGARIDA;20 a 39 anos;1
1;BA;SALINAS DA MARGARIDA;40 a 59 anos;1
1;BA;SALVADOR;0 a 06 meses;1
1;BA;SALVADOR;05 a 10 anos;1
1;BA;SALVADOR;11 a 15 anos;2
1;BA;SALVADOR;16 a 19 anos;1
1;BA;SALVADOR;20 a 39 anos;19
1;BA;SALVADOR;40 a 59 anos;13
1;BA;SALVADOR;60 a 69 anos;9
1;BA;SALVADOR;70 anos e mais;23
1;BA;SANTA BRIGIDA;20 a 39 anos;1
1;BA;SANTA BRIGIDA;60 a 69 anos;1
1;BA;SANTA CRUZ CABRALIA;40 a 59 anos;1
1;BA;SANTO ANTONIO DE JESUS;60 a 69 anos;1
1;BA;SAO DOMINGOS;20 a 39 anos;2
1;BA;SAO DOMINGOS;40 a 59 anos;1
1;BA;SAO DOMINGOS;60 a 69 anos;1
1;BA;SAO SEBASTIAO DO PASSE;11 a 15 anos;1
1;BA;SAO SEBASTIAO DO PASSE;20 a 39 anos;3
1;BA;SAO SEBASTIAO DO PASSE;40 a 59 anos;1
1;BA;SATIRO DIAS;20 a 39 anos;1
1;BA;SEABRA;20 a 39 anos;1
1;BA;SENHOR DO BONFIM;20 a 39 anos;2
1;BA;SENHOR DO BONFIM;40 a 59 anos;1
1;BA;SIMOES FILHO;70 anos e mais;1
1;BA;TEIXEIRA DE FREITAS;20 a 39 anos;1
1;BA;TEIXEIRA DE FREITAS;40 a 59 anos;1
1;BA;VARZEA DA ROCA;20 a 39 anos;1
1;BA;VITORIA DA CONQUISTA;16 a 19 anos;1
1;BA;VITORIA DA CONQUISTA;20 a 39 anos;1
1;BA;VITORIA DA CONQUISTA;40 a 59 anos;3
1;BA;VITORIA DA CONQUISTA;70 anos e mais;4
1;BR; ;0 a 06 meses;197
1;BR; ;02 a 04 anos;164
1;BR; ;05 a 10 anos;225
1;BR; ;07 meses a 01 ano;258
1;BR; ;11 a 15 anos;251
1;BR; ;16 a 19 anos;498
1;BR; ;20 a 39 anos;4875
1;BR; ;40 a 59 anos;4491
1;BR; ;60 a 69 anos;1746
1;BR; ;70 anos e mais;2015
1;BR; ;sem informaç ;136
1;CE;AIUABA;40 a 59 anos;1
1;CE;AIUABA;70 anos e mais;2
1;CE;ALCANTARAS;20 a 39 anos;1
1;CE;ALCANTARAS;40 a 59 anos;1
1;CE;ALCANTARAS;70 anos e mais;2
1;CE;ALCANTARAS;sem informaç ;1
1;CE;ALTO SANTO;20 a 39 anos;2
1;CE;ALTO SANTO;70 anos e mais;1
1;CE;APUIARES;20 a 39 anos;1
1;CE;ARACATI;20 a 39 anos;3
1;CE;ARACATI;40 a 59 anos;1
1;CE;ARACATI;60 a 69 anos;1
1;CE;ARARENDA;11 a 15 anos;1
1;CE;ARARENDA;16 a 19 anos;1
1;CE;ARARENDA;40 a 59 anos;4
1;CE;ARARENDA;60 a 69 anos;1
1;CE;ARNEIROZ;07 meses a 01 ano;1
1;CE;ARNEIROZ;11 a 15 anos;1
1;CE;ARNEIROZ;40 a 59 anos;1
1;CE;ARNEIROZ;60 a 69 anos;1
1;CE;ASSARE;20 a 39 anos;5
1;CE;ASSARE;40 a 59 anos;2
1;CE;AURORA;40 a 59 anos;1
1;CE;BAIXIO;20 a 39 anos;1
1;CE;BAIXIO;40 a 59 anos;1
1;CE;BANABUIU;0 a 06 meses;2
1;CE;BANABUIU;07 meses a 01 ano;1
1;CE;BANABUIU;16 a 19 anos;1
1;CE;BANABUIU;20 a 39 anos;7
1;CE;BANABUIU;40 a 59 anos;2
1;CE;BANABUIU;70 anos e mais;3
1;CE;BARBALHA;16 a 19 anos;1
1;CE;BARBALHA;20 a 39 anos;3
1;CE;BARBALHA;40 a 59 anos;8
1;CE;BARBALHA;60 a 69 anos;3
1;CE;BARBALHA;70 anos e mais;1
1;CE;BARRO;07 meses a 01 ano;1
1;CE;BARRO;20 a 39 anos;3
1;CE;BARRO;40 a 59 anos;2
1;CE;BARRO;70 anos e mais;1
1;CE;BARROQUINHA;20 a 39 anos;1
1;CE;BEBERIBE;20 a 39 anos;3
1;CE;BEBERIBE;40 a 59 anos;1
1;CE;BEBERIBE;60 a 69 anos;4
1;CE;BEBERIBE;70 anos e mais;1
1;CE;BELA CRUZ;40 a 59 anos;1
1;CE;BOA VIAGEM;20 a 39 anos;4
1;CE;BOA VIAGEM;40 a 59 anos;1
1;CE;BOA VIAGEM;70 anos e mais;4
1;CE;BREJO SANTO;16 a 19 anos;1
1;CE;BREJO SANTO;20 a 39 anos;3
1;CE;BREJO SANTO;40 a 59 anos;2
1;CE;BREJO SANTO;60 a 69 anos;1
1;CE;BREJO SANTO;70 anos e mais;2
1;CE;CAMOCIM;20 a 39 anos;3
1;CE;CAMOCIM;40 a 59 anos;1
1;CE;CAMOCIM;60 a 69 anos;1
1;CE;CAMOCIM;sem informaç ;1
1;CE;CAMPOS SALES;70 anos e mais;1
1;CE;CANINDE;07 meses a 01 ano;2
1;CE;CANINDE;20 a 39 anos;1
1;CE;CANINDE;40 a 59 anos;1
1;CE;CANINDE;70 anos e mais;1
1;CE;CARIRE;20 a 39 anos;3
1;CE;CARIRE;40 a 59 anos;2
1;CE;CARIRE;70 anos e mais;3
1;CE;CARIRIACU;60 a 69 anos;1
1;CE;CARIUS;40 a 59 anos;2
1;CE;CARIUS;70 anos e mais;1
1;CE;CARNAUBAL;40 a 59 anos;1
1;CE;CASCAVEL;20 a 39 anos;2
1;CE;CASCAVEL;70 anos e mais;2
1;CE;CATUNDA;16 a 19 anos;2
1;CE;CATUNDA;40 a 59 anos;2
1;CE;CAUCAIA;16 a 19 anos;1
1;CE;CAUCAIA;20 a 39 anos;2
1;CE;CHOROZINHO;20 a 39 anos;1
1;CE;COREAU;0 a 06 meses;1
1;CE;COREAU;07 meses a 01 ano;1
1;CE;COREAU;20 a 39 anos;1
1;CE;CRATO;20 a 39 anos;2
1;CE;CRATO;40 a 59 anos;4
1;CE;CRUZ;20 a 39 anos;3
1;CE;CRUZ;40 a 59 anos;1
1;CE;EUSEBIO;70 anos e mais;1
1;CE;FARIAS BRITO;40 a 59 anos;1
1;CE;FARIAS BRITO;60 a 69 anos;1
1;CE;FORTALEZA;0 a 06 meses;1
1;CE;FORTALEZA;02 a 04 anos;2
1;CE;FORTALEZA;05 a 10 anos;1
1;CE;FORTALEZA;07 meses a 01 ano;3
1;CE;FORTALEZA;16 a 19 anos;1
1;CE;FORTALEZA;20 a 39 anos;15
1;CE;FORTALEZA;40 a 59 anos;13
1;CE;FORTALEZA;60 a 69 anos;9
1;CE;FORTALEZA;70 anos e mais;7
1;CE;FORTIM;16 a 19 anos;1
1;CE;GRANJA;16 a 19 anos;1
1;CE;GRANJA;40 a 59 anos;1
1;CE;GRANJEIRO;20 a 39 anos;1
1;CE;HIDROLANDIA;40 a 59 anos;1
1;CE;HORIZONTE;20 a 39 anos;1
1;CE;IBARETAMA;70 anos e mais;1
1;CE;IBIAPINA;0 a 06 meses;1
1;CE;IBIAPINA;20 a 39 anos;2
1;CE;IBIAPINA;40 a 59 anos;1
1;CE;IBICUITINGA;16 a 19 anos;1
1;CE;ICAPUI;16 a 19 anos;1
1;CE;ICAPUI;20 a 39 anos;2
1;CE;ICAPUI;40 a 59 anos;1
1;CE;ICO;0 a 06 meses;2
1;CE;ICO;40 a 59 anos;4
1;CE;ICO;60 a 69 anos;3
1;CE;IGUATU;02 a 04 anos;1
1;CE;IGUATU;20 a 39 anos;3
1;CE;IGUATU;40 a 59 anos;1
1;CE;IGUATU;60 a 69 anos;1
1;CE;IGUATU;70 anos e mais;1
1;CE;IPUEIRAS;16 a 19 anos;1
